From	Entry	Organism
P0A4T3	P0A4T3	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)
P0A4T6	P0A4T6	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))
P0A4U2	P0A4U2	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)
P0A4U6	P0A4U6	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
P0A583	P0A583	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A5Z5	P0A5Z5	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A5Z7	P0A5Z7	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A603	P0A603	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A649	P0A649	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A673	P0A673	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A697	P0A697	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)
P0A9A9	P0A9A9	Escherichia coli (strain K12)
P0A9E5	P0A9E5	Escherichia coli (strain K12)
P0A9F1	P0A9F1	Escherichia coli (strain K12)
P0A9F3	P0A9F3	Escherichia coli (strain K12)
P0A9F6	P0A9F6	Escherichia coli (strain K12)
P0A9F9	P0A9F9	Escherichia coli (strain K12)
P0A9G2	P0A9G2	Escherichia coli (strain K12)
P0A9G8	P0A9G8	Escherichia coli (strain K12)
P0A9Q1	P0A9Q1	Escherichia coli (strain K12)
P0AC51	P0AC51	Escherichia coli (strain K12)
P0ACI6	P0ACI6	Escherichia coli (strain K12)
P0ACJ0	P0ACJ0	Escherichia coli (strain K12)
P0ACJ5	P0ACJ5	Escherichia coli (strain K12)
P0ACJ8	P0ACJ8	Escherichia coli (strain K12)
P0ACK2	P0ACK2	Escherichia coli (strain K12)
P0ACK8	P0ACK8	Escherichia coli (strain K12)
P0ACL0	P0ACL0	Escherichia coli (strain K12)
P0ACL2	P0ACL2	Escherichia coli (strain K12)
P0ACL5	P0ACL5	Escherichia coli (strain K12)
P0ACL7	P0ACL7	Escherichia coli (strain K12)
P0ACL9	P0ACL9	Escherichia coli (strain K12)
P0ACM2	P0ACM2	Escherichia coli (strain K12)
P0ACM5	P0ACM5	Escherichia coli (strain K12)
P0ACM9	P0ACM9	Escherichia coli (strain K12)
P0ACN2	P0ACN2	Escherichia coli (strain K12)
P0ACN4	P0ACN4	Escherichia coli (strain K12)
P0ACQ4	P0ACQ4	Escherichia coli (strain K12)
P0ACQ7	P0ACQ7	Escherichia coli (strain K12)
P0ACR0	P0ACR0	Escherichia coli (strain K12)
P0ACR2	P0ACR2	Escherichia coli (strain K12)
P0ACR4	P0ACR4	Escherichia coli (strain K12)
P0ACR7	P0ACR7	Escherichia coli (strain K12)
P0ACR9	P0ACR9	Escherichia coli (strain K12)
P0ACS7	P0ACS7	Escherichia coli (strain K12)
P0ACZ4	P0ACZ4	Escherichia coli (strain K12)
P0ACZ8	P0ACZ8	Escherichia coli (strain K12)
P0ADD7	P0ADD7	Escherichia coli (strain K12)
P0AE58	P0AE58	Escherichia coli (strain K12)
P0AE88	P0AE88	Escherichia coli (strain K12)
P0AF20	P0AF20	Escherichia coli (strain K12)
P0AF28	P0AF28	Escherichia coli (strain K12)
P0AFH0	P0AFH0	Escherichia coli (strain K12)
P0AFJ5	P0AFJ5	Escherichia coli (strain K12)
P0AFP2	P0AFP2	Escherichia coli (strain K12)
P0AGB6	P0AGB6	Escherichia coli (strain K12)
P0C000	P0C000	Staphylococcus aureus (strain Mu50 / ATCC 700699)
P0C0A1	P0C0A1	Rattus norvegicus (Rat)
P0C0A2	P0C0A2	Rattus norvegicus (Rat)
P0C0P3	P0C0P3	Staphylococcus epidermidis
P0C0P4	P0C0P4	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)
P0C106	P0C106	Brucella abortus biovar 1 (strain 9-941)
P0C1S0	P0C1S0	Staphylococcus aureus
P0C5W3	P0C5W3	Escherichia coli
P0C6C8	P0C6C8	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
P0C6D1	P0C6D1	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
P0C7L5	P0C7L5	Sulfolobus spindle-shape virus 1 (SSV1)
P0C8S1	P0C8S1	Arabidopsis thaliana (Mouse-ear cress)
P0CAV3	P0CAV3	Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) (Caulobacter crescentus)
P0CF24	P0CF24	Rattus norvegicus (Rat)
P0CH31	P0CH31	Arabidopsis thaliana (Mouse-ear cress)
P0CI75	P0CI75	Bacillus subtilis (strain 168)
P0CN46	P0CN46	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
P0CN54	P0CN54	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
P0CO32	P0CO32	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
P0CO33	P0CO33	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)
P0CP02	P0CP02	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
P0CR48	P0CR48	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
P0CT89	P0CT89	Phanerochaete chrysosporium (strain RP-78 / ATCC MYA-4764 / FGSC 9002) (White-rot fungus) (Sporotrichum pruinosum)
P0CT90	P0CT90	Phanerochaete chrysosporium (strain RP-78 / ATCC MYA-4764 / FGSC 9002) (White-rot fungus) (Sporotrichum pruinosum)
P0CU17	P0CU17	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
P0CU68	P0CU68	Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)
P0CU73	P0CU73	Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)
P0CZ15	P0CZ15	Rhodobacter capsulatus (Rhodopseudomonas capsulata)
P0CZ69	P0CZ69	Streptococcus pyogenes serotype M3 (strain SSI-1)
P0CZ70	P0CZ70	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)
P0DA47	P0DA47	Streptococcus pyogenes serotype M3 (strain SSI-1)
P0DB16	P0DB16	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)
P0DB66	P0DB66	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)
P0DD92	P0DD92	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)
P0DF50	P0DF50	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)
P0DH60	P0DH60	Pisum sativum (Garden pea) (Lathyrus oleraceus)
P0DI17	P0DI17	Arabidopsis thaliana (Mouse-ear cress)
P0DJA5	P0DJA5	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)
P0DJA6	P0DJA6	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)
P0DJL7	P0DJL7	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)
P0DKK8	P0DKK8	Oryza sativa subsp. japonica (Rice)
P0DMC7	P0DMC7	Escherichia coli (strain K12)
P0DMC9	P0DMC9	Escherichia coli (strain K12)
P0DMD0	P0DMD0	Escherichia coli
P0DN68	P0DN68	Fibrobacter succinogenes (strain ATCC 19169 / S85)
P0DO07	P0DO07	Oryza sativa subsp. japonica (Rice)
P0DO09	P0DO09	Oryza sativa subsp. japonica (Rice)
P0DO86	P0DO86	Strychnos nux-vomica (Poison nut) (Strychnine tree)
P0DOW5	P0DOW5	Verrucomicrobium spinosum (strain ATCC 43997 / DSM 4136 / JCM 18804 / IFAM 1439)
P0DPR8	P0DPR8	Neisseria gonorrhoeae
P0DUU5	P0DUU5	Acinetobacter baumannii (strain ATCC 17978 / DSM 105126 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)
P0DV33	P0DV33	Serratia plymuthica
P0DV49	P0DV49	Runella zeae (strain ATCC BAA-293 / DSM 19591 / LMG 21438 / NS12)
P0DV53	P0DV53	Unknown prokaryotic organism
P0DX03	P0DX03	Escherichia coli
P0DX95	P0DX95	Methylorubrum extorquens (strain PA1) (Methylobacterium extorquens)
P0DXC9	P0DXC9	Clostridioides difficile (strain CD3)
P0DXJ7	P0DXJ7	Lophophora williamsii (Peyote) (Echinocactus williamsii)
P0DXJ8	P0DXJ8	Lophophora williamsii (Peyote) (Echinocactus williamsii)
P0DXJ9	P0DXJ9	Lophophora williamsii (Peyote) (Echinocactus williamsii)
P0DXZ3	P0DXZ3	Pseudoalteromonas sp
P10022	P10022	Bacillus thuringiensis
P10151	P10151	Escherichia coli (strain K12)
P10157	P10157	Gallus gallus (Chicken)
P10183	P10183	Pseudomonas putida (Arthrobacter siderocapsulatus)
P10277	P10277	Enterobacteria phage P4 (Bacteriophage P4)
P10412	P10412	Homo sapiens (Human)
P10585	P10585	Bacillus subtilis (strain 168)
P10771	P10771	Caenorhabditis elegans
P10881	P10881	Bos taurus (Bovine)
P10914	P10914	Homo sapiens (Human)
P10922	P10922	Mus musculus (Mouse)
P10932	P10932	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P10950	P10950	Bos taurus (Bovine)
P10958	P10958	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P11065	P11065	Bacillus subtilis (strain 168)
P11190	P11190	Salmonella phage P22 (Bacteriophage P22)
P11308	P11308	Homo sapiens (Human)
P11470	P11470	Bacillus subtilis (strain 168)
P11536	P11536	Drosophila melanogaster (Fruit fly)
P11720	P11720	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P11742	P11742	Bacillus subtilis (strain 168)
P11972	P11972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P12232	P12232	Bradyrhizobium japonicum
P12233	P12233	Bradyrhizobium japonicum
P12380	P12380	Klebsiella aerogenes (Enterobacter aerogenes)
P12529	P12529	Citrobacter freundii
P12746	P12746	Aliivibrio fischeri (Vibrio fischeri)
P13041	P13041	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P13044	P13044	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)
P13295	P13295	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P13329	P13329	Enterobacteria phage T4 (Bacteriophage T4)
P13359	P13359	Rhizobium rhizogenes (Agrobacterium rhizogenes)
P13390	P13390	Escherichia phage T5 (Enterobacteria phage T5)
P13445	P13445	Escherichia coli (strain K12)
P13474	P13474	Gallus gallus (Chicken)
P13669	P13669	Escherichia coli (strain K12)
P13792	P13792	Bacillus subtilis (strain 168)
P13968	P13968	Bacillus subtilis
P13984	P13984	Homo sapiens (Human)
P13988	P13988	Escherichia coli
P14081	P14081	Escherichia coli (strain K12)
P14145	P14145	Rhodobacter capsulatus (Rhodopseudomonas capsulata)
P14204	P14204	Bacillus subtilis (strain 168)
P14316	P14316	Homo sapiens (Human)
P14734	P14734	Drosophila melanogaster (Fruit fly)
P14815	P14815	Enterobacteria phage phi80 (Bacteriophage phi-80)
P14870	P14870	Planomicrobium okeanokoites (Planococcus okeanokoites) (Flavobacterium okeanokoites)
P14921	P14921	Homo sapiens (Human)
P15036	P15036	Homo sapiens (Human)
P15037	P15037	Mus musculus (Mouse)
P15043	P15043	Escherichia coli (strain K12)
P15062	P15062	Gallus gallus (Chicken)
P15082	P15082	Escherichia coli (strain K12)
P15308	P15308	Xenopus laevis (African clawed frog)
P15314	P15314	Mus musculus (Mouse)
P15360	P15360	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P15795	P15795	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
P15796	P15796	Caenorhabditis elegans
P15863	P15863	Homo sapiens (Human)
P15864	P15864	Mus musculus (Mouse)
P15865	P15865	Rattus norvegicus (Rat)
P15866	P15866	Xenopus laevis (African clawed frog)
P15867	P15867	Xenopus laevis (African clawed frog)
P15869	P15869	Strongylocentrotus purpuratus (Purple sea urchin)
P15870	P15870	Strongylocentrotus purpuratus (Purple sea urchin)
P15871	P15871	Triticum aestivum (Wheat)
P15872	P15872	Triticum aestivum (Wheat)
P15905	P15905	Escherichia coli
P15927	P15927	Homo sapiens (Human)
P15940	P15940	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
P16400	P16400	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)
P16401	P16401	Homo sapiens (Human)
P16402	P16402	Homo sapiens (Human)
P16403	P16403	Homo sapiens (Human)
P16455	P16455	Homo sapiens (Human)
P16528	P16528	Escherichia coli (strain K12)
P16556	P16556	Rhizobium leguminosarum
P16557	P16557	Bacillus spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) (Bacillus subtilis subsp. spizizenii)
P16559	P16559	Streptomyces glaucescens
P16684	P16684	Escherichia coli (strain K12)
P16922	P16922	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P16931	P16931	Burkholderia cepacia (Pseudomonas cepacia)
P16939	P16939	Shigella sonnei
P17051	P17051	Ectopseudomonas oleovorans (Pseudomonas oleovorans)
P17074	P17074	Rattus norvegicus (Rat)
P17268	P17268	Drosophila hydei (Fruit fly)
P17430	P17430	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P17433	P17433	Mus musculus (Mouse)
P17492	P17492	Neisseria gonorrhoeae
P17531	P17531	Myxococcus xanthus
P17869	P17869	Bacillus subtilis (strain 168)
P17893	P17893	Bacillus subtilis (strain 168)
P17947	P17947	Homo sapiens (Human)
P18182	P18182	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P18183	P18183	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P18184	P18184	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P18249	P18249	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P18333	P18333	Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx)
P18351	P18351	Escherichia coli
P18352	P18352	Escherichia coli
P18561	P18561	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P18755	P18755	Xenopus laevis (African clawed frog)
P18756	P18756	Xenopus laevis (African clawed frog)
P18816	P18816	Lactococcus lactis subsp. lactis (Streptococcus lactis)
P19102	P19102	Xenopus laevis (African clawed frog)
P19220	P19220	Bacillus subtilis (strain 168)
P19419	P19419	Homo sapiens (Human)
P19768	P19768	Escherichia coli (strain K12)
P19771	P19771	Mycobacterium tuberculosis
P19952	P19952	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)
P20047	P20047	Staphylococcus aureus
P20098	P20098	Erwinia amylovora (Fire blight bacteria)
P20105	P20105	Drosophila melanogaster (Fruit fly)
P20187	P20187	Streptomyces fradiae (Streptomyces roseoflavus)
P20222	P20222	Sulfolobus spindle-shape virus 1 (SSV1)
P20667	P20667	Pseudomonas putida (Arthrobacter siderocapsulatus)
P20668	P20668	Bacillus subtilis (strain 168)
P20669	P20669	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571)
P21081	P21081	Vaccinia virus (strain Copenhagen) (VACV)
P21458	P21458	Bacillus subtilis (strain 168)
P21514	P21514	Escherichia coli (strain K12)
P21605	P21605	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))
P21866	P21866	Escherichia coli (strain K12)
P21895	P21895	Chironomus thummi thummi (Midge)
P21940	P21940	Lactiplantibacillus pentosus (Lactobacillus pentosus)
P22262	P22262	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)
P22308	P22308	Escherichia coli
P22405	P22405	Streptomyces lividans
P22492	P22492	Homo sapiens (Human)
P22562	P22562	Halobacterium phage phiH (Bacteriophage phi-H)
P22670	P22670	Homo sapiens (Human)
P22773	P22773	Pseudomonas putida (Arthrobacter siderocapsulatus)
P22844	P22844	Xenopus laevis (African clawed frog)
P22845	P22845	Xenopus laevis (African clawed frog)
P22866	P22866	Streptomyces griseus
P22915	P22915	Enterobacteria phage T4 (Bacteriophage T4)
P22974	P22974	Mytilus californianus (California mussel)
P22975	P22975	Spisula solidissima (Atlantic surf-clam)
P23179	P23179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P23190	P23190	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P23221	P23221	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
P23444	P23444	Zea mays (Maize)
P23484	P23484	Escherichia coli (strain K12)
P23512	P23512	Rattus norvegicus (Rat)
P23570	P23570	Rattus norvegicus (Rat)
P23611	P23611	Mus musculus (Mouse)
P23619	P23619	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)
P23620	P23620	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P23672	P23672	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)
P23718	P23718	Rhizobium leguminosarum bv. phaseoli
P23719	P23719	Rhizobium leguminosarum bv. phaseoli
P23720	P23720	Rhizobium leguminosarum bv. phaseoli
P23757	P23757	Drosophila melanogaster (Fruit fly)
P23758	P23758	Drosophila melanogaster (Fruit fly)
P23759	P23759	Homo sapiens (Human)
P23760	P23760	Homo sapiens (Human)
P23836	P23836	Escherichia coli (strain K12)
P23841	P23841	Escherichia coli (strain K12)
P23890	P23890	Escherichia coli (strain K12)
P23906	P23906	Mus musculus (Mouse)
P23926	P23926	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P24290	P24290	Rhizobium leguminosarum bv. viciae
P24417	P24417	Salmonella dublin
P24494	P24494	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)
P24528	P24528	Rattus norvegicus (Rat)
P24610	P24610	Mus musculus (Mouse)
P24734	P24734	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P25047	P25047	Streptomyces peucetius
P25084	P25084	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P25125	P25125	Thermus thermophilus
P25150	P25150	Bacillus subtilis (strain 168)
P25364	P25364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P25499	P25499	Bacillus subtilis (strain 168)
P25544	P25544	Allochromatium vinosum (Chromatium vinosum)
P25545	P25545	Xanthobacter flavus
P25547	P25547	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)
P25567	P25567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P25941	P25941	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P26186	P26186	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
P26187	P26187	Mus musculus (Mouse)
P26188	P26188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P26189	P26189	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P26323	P26323	Mus musculus (Mouse)
P26367	P26367	Homo sapiens (Human)
P26422	P26422	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)
P26480	P26480	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
P26487	P26487	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571)
P26488	P26488	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571)
P26568	P26568	Arabidopsis thaliana (Mouse-ear cress)
P26569	P26569	Arabidopsis thaliana (Mouse-ear cress)
P26630	P26630	Danio rerio (Zebrafish) (Brachydanio rerio)
P26683	P26683	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
P26754	P26754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P26764	P26764	Bacillus licheniformis
P26833	P26833	Clostridium perfringens (strain 13 / Type A)
P27073	P27073	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
P27102	P27102	Pseudomonas sp. (strain P51)
P27111	P27111	Escherichia coli (strain K12)
P27159	P27159	Staphylococcus xylosus
P27203	P27203	Ensis minor (Razor shell) (Minor jackknife clam)
P27245	P27245	Escherichia coli (strain K12)
P27369	P27369	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)
P27577	P27577	Mus musculus (Mouse)
P27785	P27785	Kitasatospora aureofaciens (Streptomyces aureofaciens)
P27806	P27806	Triticum aestivum (Wheat)
P28002	P28002	Medicago sativa (Alfalfa)
P28003	P28003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28048	P28048	Xenopus laevis (African clawed frog)
P28049	P28049	Xenopus laevis (African clawed frog)
P28257	P28257	Galdieria sulphuraria (Red alga)
P28267	P28267	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)
P28322	P28322	Mus musculus (Mouse)
P28324	P28324	Homo sapiens (Human)
P28835	P28835	Porphyridium aerugineum (Red microalga)
P29084	P29084	Homo sapiens (Human)
P29281	P29281	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
P29283	P29283	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)
P29284	P29284	Lacticaseibacillus casei (Lactobacillus casei)
P29286	P29286	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
P29346	P29346	Streptococcus sanguinis
P29485	P29485	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
P29540	P29540	Xenopus laevis (African clawed frog)
P29569	P29569	Methanothermobacter thermautotrophicus (Methanobacterium thermoformicicum)
P29570	P29570	Methanothermobacter thermautotrophicus (Methanobacterium thermoformicicum)
P29773	P29773	Lytechinus variegatus (Green sea urchin) (Echinus variegatus)
P29774	P29774	Drosophila melanogaster (Fruit fly)
P29775	P29775	Drosophila melanogaster (Fruit fly)
P29776	P29776	Drosophila melanogaster (Fruit fly)
P29904	P29904	Paracoccus denitrificans
P30198	P30198	Staphylococcus epidermidis
P30338	P30338	Staphylococcus aureus
P30339	P30339	Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4) (Bacillus pseudofirmus)
P30340	P30340	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)
P30346	P30346	Streptomyces lividans
P30427	P30427	Rattus norvegicus (Rat)
P30429	P30429	Caenorhabditis elegans
P30665	P30665	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P30727	P30727	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)
